,Name,Rating,Number of ratings,Number of reviews,Actual Price,Discount Price
59,"Frontech Ultima Series 24 inch Full HD LED Backlit IPS Panel Monitor (MON-0062-White)  (Adaptive Sync, Response Time: 2 ms, 75 Hz Refresh Rate)",4.2,368,38,16000.0,7099.0
60,"Acer HA0 23.8 inch Full HD LED Backlit IPS Panel with EcoDisplay, Mercury Free, Flicker Free, Bluelight Shield, AMD Free Sync Compatible, 2X2W Inbuilt Speakers, Tilt-able Stand Ultra-thin Monitor (HA240Y)  (Frameless, NVIDIA G Sync, Response Time: 1 ms, 120 Hz Refresh Rate)",4.4,10960,1738,8999.0,7498.0
61,"HP 31.5 inch Curved WQHD VA Panel Gaming Monitor (OMEN 32c)  (Response Time: 1 ms, 165 Hz Refresh Rate)",4.4,0,0,44801.0,35199.0
62,"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL)  (Response Time: 5 ms, 75 Hz Refresh Rate)",4.4,15908,1849,11100.0,6499.0
63,"LG UltraGear 24 inch Full HD IPS Panel with HDR10, NVIDIA G-SYNC Comaptible, Tilt-able Stand, 3-side virtually borderless design Gaming Monitor (24GS60F-BB.ATRKMVN)  (AMD Free Sync, Response Time: 1 ms, 180 Hz Refresh Rate)",4.2,13,4,20000.0,11499.0
64,"Frontech - 17 inch HD LED Backlit VA Panel Monitor (MON-0065)  (Adaptive Sync, Response Time: 5 ms, 60 Hz Refresh Rate)",3.8,2400,229,5000.0,2469.0
65,"HP Series 5 23.8 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, Built-in Speakers, 300 nits brightness, Eye Ease Technology Monitor (524sa)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,14980.0,12799.0
66,"Acer 23.8 inch Full HD IPS Panel with-Visioncare, VGA, HDMI, Ergonomic Stand, Flicker-Free Monitor (EK240Y)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,3031,345,9499.0,6549.0
67,"SAMSUNG 24 inch Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free Sync Mode, Eye Saver Mode & Flicker Free Monitor (LS24C310EAWXXL)  (AMD Free Sync, Response Time: 5 ms, 75 Hz Refresh Rate)",4.4,15908,1849,15400.0,7999.0
68,"Lenovo 23.8 inch Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D24-40)  (Response Time: 4 ms, 75 Hz Refresh Rate)",4.3,3758,424,12690.0,6699.0
69,"HP Series 5 27 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, Built-in Speakers, 300 nits brightness, Eye Ease Technology, Height Adjustable Monitor (527sh)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,18480.0,15599.0
70,"SAMSUNG M5 27 inch Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Office 365, Workout Tracker, Multiple Ports, Speakers, Remote, Bluetooth Smart Monitor (LS27DM501EWXXL)  (Response Time: 4 ms, 60 Hz Refresh Rate)",4.2,19,2,32300.0,17099.0
71,"BenQ GW2790 27 inch Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display Port, Bezel-Less, Eyesafe, VESA MediaSync, Brightness Intelligence, Low Blue Light, Speakers 2Wx2, VESA Wall mountable Monitor (GW2790)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.5,471,45,17990.0,11498.0
